,Department,zip_code,Variance,Distance,Cosine,Nouns_nb,Variance_std,Distance_std,Cosine_std
709,4,4320,186.75556083586545,539.2053710432758,86.4919807240065,15,12.45037072239103,5.1352892480311985,0.8237331497524428
710,78,78290,370.29636151652187,2076.621655641692,342.92879042315303,29,12.768840052293857,5.114831664142098,0.8446521931604755
711,13,13120,306.5398979980474,1329.2966938368857,222.52456408020134,23,13.327821652089018,5.254137129790061,0.8795437315422978
712,33,33750,225.52837376647983,845.8726117244325,141.96090159929068,19,11.869914408762096,4.946623460376799,0.830180711106963
713,92,92130,454.52298155404804,3053.5703297386453,502.8102159446871,35,12.98637090154423,5.132050974350665,0.845059186461659
714,34,34090,393.08462715727467,2136.963907331782,349.8640860056375,29,13.554642315768092,5.263457899831976,0.8617342019843288
715,41,41220,670.5378832366995,6343.895892306909,1045.0317093563083,50,13.410757664733989,5.178690524332171,0.853087109678619
716,68,68100,146.89220678940885,338.41616881374995,56.642687465933754,12,12.241017232450737,5.127517709299242,0.8582225373626327
717,83,83000,80.8760132783411,108.50905958561344,17.61783808960822,7,11.553716182620159,5.167098075505402,0.8389446709337248
718,34,34410,134.95940710481443,245.74621763472143,38.14434545273169,10,13.495940710481444,5.461027058549365,0.8476521211718153
719,62,62000,326.9639506010363,1645.0657063588776,271.11365769010587,26,12.57553656157832,5.061740634950393,0.8341958698157104
720,2,2350,116.65216785213818,193.21838859353898,29.413362250680155,9,12.961351983570909,5.3671774609316385,0.8170378402966709
721,33,33510,418.77441157568114,2446.6953522333124,405.75002010074945,31,13.508851986312296,5.261710434910349,0.8725806883887085
722,71,71100,654.2224862533368,6287.5508486735625,1042.9041368294588,50,13.084449725066737,5.132694570345765,0.8513503157791501
723,47,47440,164.74943828650902,360.18051750371046,58.35399440188642,12,13.729119857209085,5.457280568238037,0.8841514303316124
724,26,26150,270.0586501788996,858.2830259667927,132.20170635695328,18,15.0032583432722,5.609692980175116,0.8640634402415247
725,69,69680,679.426032672762,6218.395280167626,1026.6178378689658,49,13.865837401484939,5.287751088577913,0.8729743519293927
726,69,69100,169.34720395608537,412.5462868347446,65.43293614204887,13,13.026707996621951,5.289054959419802,0.8388837966929342
727,37,37220,260.6266913623118,842.4096319509769,131.16904256430678,18,14.479260631239546,5.50594530686913,0.8573140036882796
728,34,34300,166.3059663301383,409.4340515482042,63.311428698566225,13,12.792766640779869,5.249154507028259,0.8116849833149516
729,26,26220,180.90580933946023,585.636125405236,95.39540298011441,16,11.306613083716265,4.880301045043634,0.7949616915009534
730,31,31100,678.3652859622418,7351.542361057803,1272.7874797883876,55,12.333914290222578,4.950533576469901,0.8570959459854463
731,13,13680,102.10030412872545,181.3932559244002,30.919562845345567,9,11.34447823652505,5.038701553455561,0.8588767457040435
732,77,77450,953.6501020139655,13708.412168342344,2308.471865872394,74,12.887163540729263,5.075309947553626,0.854673034384448
733,94,94100,235.25655936005168,668.8698501127521,99.9448171872924,16,14.70353496000323,5.573915417606268,0.83287347656077
734,75,75009,187.23609346591843,540.7143100198452,85.66389911015746,15,12.482406231061228,5.149660095427097,0.8158466581919758
735,14,14920,173.9982908854289,628.5427017971653,116.64779847442745,17,10.235193581495817,4.62163751321445,0.8577044005472606
736,12,12000,163.17116624288946,404.6214258575245,68.03856902728833,13,12.551628172529957,5.1874541776605705,0.8722893465036966
